UserID,Easy,Medium,Hard,Topics,T1 Easy,T1 Medium,T1 Hard,Tn_Level,Accuracy,No Of Attempts,Time Taken,Contest Rank,ContestID,Contest Weightage
U0036,174,54,46,5,2,3,2,390389,67.04,20,216,10,contest@0036,21-50
U0037,119,28,21,20,3,2,4,839715,70.85,11,269,14,contest@0037,1-10
U0038,31,97,29,18,3,2,1,121751,74.3,13,487,32,contest@0038,21-50
U0039,142,46,44,11,5,3,5,634915,62.54,3,496,4,contest@0039,1-10
U0040,193,54,78,19,5,4,5,836535,68.02,15,440,11,contest@0040,21-50
U0041,43,63,9,3,4,1,2,598371,80.26,9,435,52,contest@0041,51-100
U0042,128,37,87,12,4,2,3,101938,92.96,14,91,74,contest@0042,21-50
U0043,81,23,64,15,4,5,3,600316,62.99,1,71,35,contest@0043,51-100
U0044,184,48,25,5,4,4,5,154180,82.01,8,302,84,contest@0044,21-50
U0045,120,37,55,16,1,5,1,574730,90.46,3,486,91,contest@0045,11-20
U0046,63,91,71,10,2,3,3,761628,56.83,4,307,69,contest@0046,11-20
U0047,151,40,75,10,1,4,2,752002,64.97,12,257,1,contest@0047,51-100
U0048,73,95,7,8,2,5,4,970184,96.91,5,55,88,contest@0048,51-100
U0049,125,92,58,14,2,3,2,500293,88.04,9,313,77,contest@0049,11-20
U0050,85,41,45,10,4,1,4,413606,59.76,1,39,77,contest@0050,11-20
U0051,189,20,44,11,1,1,5,360582,56.62,20,205,83,contest@0051,11-20
U0052,63,8,40,12,4,4,2,131840,70.73,3,20,30,contest@0052,1-10
U0053,190,82,47,18,5,3,2,808397,70.29,10,220,25,contest@0053,1-10
U0054,74,80,12,5,2,1,4,223760,70.83,3,435,40,contest@0054,1-10
U0055,94,84,34,7,5,4,4,142386,64.72,18,364,14,contest@0055,1-10
U0056,28,44,92,16,1,4,5,700487,71.72,17,202,84,contest@0056,21-50
U0057,35,29,97,3,4,3,2,342981,86.81,15,231,92,contest@0057,51-100
U0058,131,49,26,17,4,5,1,973835,94.12,4,74,18,contest@0058,1-10
U0059,144,36,16,13,1,2,5,935018,62.07,19,405,47,contest@0059,11-20
U0060,33,75,47,9,5,4,2,164461,81.29,7,261,39,contest@0060,1-10
U0061,190,59,82,14,3,2,3,227182,86.65,20,257,90,contest@0061,51-100
U0062,199,16,18,17,2,2,2,301633,99.03,1,2,45,contest@0062,11-20
U0063,123,22,58,6,5,1,1,989893,84.42,20,97,67,contest@0063,1-10
U0064,148,87,12,19,2,4,1,277861,71.28,3,264,59,contest@0064,1-10
U0065,104,5,100,12,1,4,2,770709,97.42,1,401,35,contest@0065,11-20
U0066,177,28,33,6,4,3,1,850172,76.89,16,186,90,contest@0066,11-20
U0067,23,38,87,13,3,1,3,464619,82.78,13,70,24,contest@0067,1-10
U0068,142,87,70,5,1,5,4,408908,87.71,6,148,10,contest@0068,21-50
U0069,46,41,70,9,3,2,2,166036,82.15,14,295,55,contest@0069,1-10
U0070,17,95,14,17,4,5,5,387595,59.18,8,92,96,contest@0070,11-20
U0071,43,82,99,12,3,1,1,109588,63.06,19,139,57,contest@0071,1-10
U0072,103,88,53,12,5,2,2,790475,87.43,20,120,40,contest@0072,51-100
U0073,147,49,49,10,2,4,2,778562,87.55,10,155,82,contest@0073,11-20
U0074,198,90,63,10,2,4,2,461214,56.77,16,270,80,contest@0074,51-100
U0075,53,33,78,5,2,1,3,577354,79.1,8,77,92,contest@0075,21-50
U0076,18,84,97,8,1,3,3,999475,81.59,5,196,58,contest@0076,21-50
U0077,186,86,97,6,1,2,5,774228,96.19,5,379,18,contest@0077,1-10
U0078,161,81,72,18,3,5,3,663667,67.42,8,431,70,contest@0078,21-50
U0079,184,81,5,8,2,3,1,447620,86.55,15,140,28,contest@0079,1-10
U0080,170,91,41,12,3,2,2,815045,81.88,3,248,90,contest@0080,21-50
U0081,138,68,36,11,2,2,2,620987,61.96,15,176,56,contest@0081,11-20
U0082,172,27,8,6,5,2,1,828227,71.16,11,415,34,contest@0082,11-20
U0083,63,91,45,19,3,5,4,247667,93.0,20,412,68,contest@0083,51-100
U0084,142,67,24,5,4,1,3,277481,51.56,1,326,89,contest@0084,11-20
U0085,97,33,74,7,4,1,5,701727,93.81,18,7,73,contest@0085,21-50
U0086,11,67,72,6,4,2,2,602693,95.33,3,307,8,contest@0086,1-10
U0087,141,51,85,19,5,2,5,471506,91.36,9,32,76,contest@0087,51-100
U0088,38,89,28,20,5,4,4,150170,54.56,6,309,43,contest@0088,21-50
U0089,40,13,40,7,5,5,3,785606,96.85,2,416,69,contest@0089,1-10
U0090,145,72,7,7,1,2,2,579032,77.33,2,3,95,contest@0090,21-50
U0091,37,65,96,12,1,2,4,233875,85.7,8,225,80,contest@0091,21-50
U0092,44,35,24,13,1,4,2,403167,59.87,11,122,81,contest@0092,11-20
U0093,42,80,99,15,5,3,1,602885,95.2,7,231,82,contest@0093,21-50
U0094,183,82,68,19,1,3,2,584090,81.5,3,265,55,contest@0094,51-100
U0095,128,35,43,8,3,1,4,113603,54.13,15,389,3,contest@0095,11-20
U0096,143,45,85,10,5,4,5,879776,51.3,5,15,61,contest@0096,11-20
U0097,94,9,66,7,3,3,5,325055,51.07,14,3,70,contest@0097,51-100
U0098,131,79,23,11,4,5,2,751005,89.16,19,351,44,contest@0098,21-50
U0099,66,77,15,14,2,2,3,596149,85.33,8,198,65,contest@0099,11-20
U0100,91,70,21,18,3,5,3,694175,87.84,16,195,21,contest@0100,51-100
U0101,167,29,64,10,4,5,3,677094,69.33,20,121,39,contest@0101,51-100
U0102,45,68,18,20,4,4,5,759294,52.26,11,230,67,contest@0102,21-50
U0103,25,52,59,14,3,2,1,473832,61.63,12,451,4,contest@0103,21-50
U0104,17,73,94,19,1,3,4,918322,51.87,17,400,5,contest@0104,21-50
U0105,96,24,31,16,4,2,1,172291,80.14,2,378,3,contest@0105,21-50
U0106,75,52,69,20,2,1,4,103709,67.77,20,84,58,contest@0106,21-50
U0107,115,62,47,3,4,1,4,403891,90.78,11,468,72,contest@0107,51-100
U0108,194,67,48,10,3,3,3,493081,68.83,12,62,14,contest@0108,21-50
U0109,31,54,7,19,1,4,2,593402,70.02,10,227,70,contest@0109,21-50
U0110,92,87,25,19,3,4,4,288381,93.09,19,390,5,contest@0110,1-10
U0111,195,99,17,14,3,1,5,142106,68.54,18,104,70,contest@0111,51-100
U0112,17,72,29,13,1,4,2,821866,71.23,12,108,91,contest@0112,21-50
U0113,39,26,27,14,4,1,5,125847,61.94,19,311,4,contest@0113,21-50
U0114,51,41,80,10,2,1,1,254901,52.0,9,289,11,contest@0114,11-20
U0115,131,61,76,6,5,3,5,647041,67.98,12,278,58,contest@0115,51-100
U0116,175,86,44,13,2,1,4,820565,96.01,17,59,87,contest@0116,21-50
U0117,23,73,22,7,3,3,3,338780,72.93,18,416,58,contest@0117,11-20
U0118,159,16,17,6,3,2,1,405894,66.2,20,273,94,contest@0118,51-100
U0119,182,61,51,18,3,4,4,290023,92.38,15,175,66,contest@0119,51-100
U0120,85,13,60,15,3,4,3,117309,52.5,17,451,74,contest@0120,1-10
U0121,14,88,45,18,3,5,5,496658,76.81,2,492,17,contest@0121,51-100
U0122,199,29,12,18,3,2,5,506685,95.45,4,467,25,contest@0122,11-20
U0123,160,82,6,20,1,5,2,235092,60.91,2,160,55,contest@0123,51-100
U0124,86,35,8,7,1,2,2,805468,73.55,6,330,15,contest@0124,51-100
U0125,115,72,16,16,4,1,1,469214,68.48,5,161,77,contest@0125,11-20
U0126,103,8,56,16,1,2,4,366645,98.09,2,125,39,contest@0126,11-20
U0127,11,51,81,5,4,5,2,779108,73.61,10,330,36,contest@0127,51-100
U0128,145,20,22,14,4,3,5,517284,55.84,3,85,23,contest@0128,11-20
U0129,20,13,69,6,2,3,3,605813,86.46,10,43,89,contest@0129,1-10
U0130,23,62,48,13,3,1,4,236507,83.48,8,398,81,contest@0130,51-100
U0131,76,58,14,10,5,5,2,231666,65.46,9,214,30,contest@0131,1-10
U0132,46,13,36,10,2,3,3,675318,59.52,15,336,89,contest@0132,51-100
U0133,35,8,59,12,3,1,5,480171,91.34,14,303,85,contest@0133,21-50
U0134,57,19,54,6,1,2,4,796306,56.56,15,277,85,contest@0134,21-50
U0135,146,34,83,11,1,4,4,468569,99.88,15,342,8,contest@0135,1-10
U0136,170,7,21,8,5,5,1,576593,72.27,12,206,74,contest@0136,11-20
U0137,142,81,76,9,4,1,3,265303,76.87,18,1,74,contest@0137,1-10
U0138,90,61,47,5,3,1,3,232629,76.32,1,317,91,contest@0138,11-20
U0139,71,6,49,16,2,3,3,724591,93.77,5,270,11,contest@0139,11-20
U0140,28,15,12,10,5,2,1,534539,62.03,7,59,68,contest@0140,1-10
U0141,27,84,61,8,5,2,4,524844,52.82,19,57,24,contest@0141,11-20
U0142,80,20,53,11,5,5,2,995049,67.5,20,115,40,contest@0142,21-50
U0143,155,17,97,16,3,3,4,552154,82.97,1,385,54,contest@0143,51-100
U0144,17,90,10,10,2,2,3,115493,54.55,19,145,33,contest@0144,21-50
U0145,38,15,9,11,4,3,2,880960,94.75,2,185,68,contest@0145,21-50
U0146,36,14,68,7,3,2,1,789690,86.44,20,379,87,contest@0146,11-20
U0147,55,22,46,10,3,2,1,408422,71.21,4,263,54,contest@0147,21-50
U0148,91,36,79,14,5,1,2,201155,57.83,5,436,97,contest@0148,1-10
U0149,165,38,19,10,3,5,3,510086,91.35,12,50,64,contest@0149,1-10
U0150,85,50,30,11,4,4,5,190708,96.53,16,448,98,contest@0150,11-20
U0151,107,77,69,14,2,1,5,839777,85.8,8,30,71,contest@0151,1-10
U0152,95,68,32,4,1,2,4,118748,79.11,11,39,96,contest@0152,51-100
U0153,136,30,26,7,4,3,4,972419,62.91,8,297,74,contest@0153,11-20
U0154,191,49,61,12,3,2,5,168078,69.01,14,160,33,contest@0154,1-10
U0155,24,32,36,15,1,5,4,680855,87.05,13,42,10,contest@0155,11-20
U0156,44,86,50,4,4,4,1,793902,74.9,5,485,87,contest@0156,51-100
U0157,177,64,47,14,3,2,3,794333,62.51,8,246,11,contest@0157,21-50
U0158,165,9,6,14,5,4,1,203009,76.52,18,479,73,contest@0158,1-10
U0159,185,89,33,16,5,1,3,472851,80.49,2,159,33,contest@0159,21-50
U0160,176,49,95,4,4,2,1,457807,60.34,13,448,99,contest@0160,1-10
U0161,35,6,94,19,4,3,2,426011,96.25,20,470,74,contest@0161,11-20
U0162,119,33,50,9,5,1,1,836443,74.63,5,262,72,contest@0162,11-20
U0163,146,23,61,15,4,3,5,863639,51.12,15,98,24,contest@0163,21-50
U0164,192,12,75,14,5,1,5,384700,77.74,2,185,3,contest@0164,1-10
U0165,156,85,20,16,3,4,4,256972,75.02,19,73,41,contest@0165,1-10
U0166,169,87,27,12,1,2,5,981455,72.54,4,410,50,contest@0166,51-100
U0167,176,47,9,11,5,1,3,835120,53.04,11,149,29,contest@0167,51-100
U0168,108,95,34,19,2,3,4,885315,79.11,3,256,79,contest@0168,21-50
U0169,102,8,61,19,1,5,4,269601,64.88,6,45,69,contest@0169,1-10
U0170,66,25,82,14,5,2,1,416048,57.05,13,19,89,contest@0170,1-10
U0171,85,66,89,17,5,1,3,674883,73.04,1,36,4,contest@0171,1-10
U0172,132,76,47,18,1,2,4,504446,87.89,6,50,20,contest@0172,51-100
U0173,57,83,60,7,1,2,3,822678,84.68,20,392,70,contest@0173,51-100
U0174,199,19,82,10,2,5,4,518654,95.18,9,49,19,contest@0174,51-100
U0175,130,27,26,5,5,2,4,177548,69.73,2,67,2,contest@0175,1-10
U0176,125,13,49,6,5,2,2,536391,59.7,20,425,7,contest@0176,21-50
U0177,161,80,59,17,2,3,1,368385,84.31,20,328,8,contest@0177,51-100
U0178,86,51,18,13,4,2,4,548434,89.24,15,109,54,contest@0178,21-50
U0179,70,48,69,3,5,5,2,849987,68.44,15,293,62,contest@0179,1-10
U0180,104,94,49,12,1,1,1,286450,70.19,18,143,87,contest@0180,51-100
U0181,135,65,19,14,1,2,1,130896,80.57,12,233,1,contest@0181,51-100
U0182,159,32,14,10,1,1,5,535932,58.12,16,405,90,contest@0182,1-10
U0183,41,43,73,15,3,2,5,467199,73.85,2,391,95,contest@0183,51-100
U0184,74,14,55,16,3,1,5,820745,98.56,1,146,99,contest@0184,51-100
U0185,13,73,41,11,5,4,4,156745,85.18,16,337,7,contest@0185,11-20
U0186,164,7,66,6,4,3,2,172759,76.21,2,456,93,contest@0186,21-50
U0187,82,91,22,4,2,5,1,315686,50.48,17,313,41,contest@0187,51-100
U0188,44,61,67,12,4,5,5,992236,67.35,6,402,29,contest@0188,51-100
U0189,165,28,100,12,5,5,3,343913,82.71,16,90,62,contest@0189,1-10
U0190,149,85,13,4,2,1,3,613726,51.45,19,355,21,contest@0190,21-50
U0191,50,27,73,11,3,5,2,359648,81.85,4,208,65,contest@0191,1-10
U0192,151,30,35,5,5,5,5,386109,51.72,20,484,23,contest@0192,1-10
U0193,48,60,66,10,4,4,4,778686,67.72,7,247,98,contest@0193,21-50
U0194,114,21,69,6,2,3,5,644306,52.47,12,305,92,contest@0194,21-50
U0195,157,13,20,16,3,4,3,807005,69.07,6,290,68,contest@0195,11-20
U0196,120,39,17,10,3,2,1,612346,93.94,10,59,58,contest@0196,21-50
U0197,171,41,35,7,3,5,3,357932,50.72,10,142,47,contest@0197,1-10
U0198,86,54,18,7,1,1,4,299823,80.41,7,121,29,contest@0198,51-100
U0199,28,93,73,6,2,1,4,596505,63.41,14,79,32,contest@0199,51-100
U0200,108,56,7,6,4,2,1,974024,98.69,11,443,3,contest@0200,51-100
U0201,49,74,72,4,4,1,4,926410,78.49,14,233,85,contest@0201,21-50
U0202,130,62,19,9,3,1,1,655685,58.03,6,337,72,contest@0202,21-50
U0203,27,29,61,4,1,3,5,981235,97.19,8,326,26,contest@0203,11-20
U0204,191,31,13,20,1,2,5,712268,81.08,9,340,32,contest@0204,51-100
U0205,63,11,74,6,4,1,4,294654,55.68,11,60,53,contest@0205,11-20
U0206,96,14,76,5,4,3,4,908676,72.83,1,150,97,contest@0206,1-10
U0207,123,33,33,10,4,2,1,404446,85.72,1,226,49,contest@0207,21-50
U0208,191,94,76,9,5,5,2,145054,87.82,3,56,42,contest@0208,11-20
U0209,191,71,49,14,5,4,3,687864,53.49,3,349,96,contest@0209,51-100
U0210,69,71,35,4,4,2,4,184762,60.17,9,236,77,contest@0210,51-100
U0211,170,83,84,13,4,2,4,310917,90.39,15,195,57,contest@0211,11-20
U0212,54,5,58,13,3,2,4,860222,97.86,8,148,25,contest@0212,11-20
U0213,165,41,90,15,3,5,2,927191,67.47,8,208,69,contest@0213,11-20
U0214,13,61,5,5,5,1,2,658721,56.65,12,456,88,contest@0214,51-100
U0215,50,95,40,3,2,4,5,316714,91.96,17,354,15,contest@0215,21-50
U0216,107,53,50,8,5,5,4,423566,51.07,3,276,60,contest@0216,11-20
U0217,155,30,41,12,1,5,3,813438,93.26,14,70,21,contest@0217,11-20
U0218,33,14,64,6,2,4,2,432599,59.32,16,60,51,contest@0218,21-50
U0219,25,33,74,10,5,5,2,995929,56.18,11,324,91,contest@0219,51-100
U0220,61,21,50,19,4,3,1,579000,70.22,9,133,85,contest@0220,1-10
U0221,165,64,51,4,2,1,3,868602,61.48,17,335,39,contest@0221,11-20
U0222,27,75,98,8,3,3,5,340300,65.37,15,9,58,contest@0222,51-100
U0223,20,65,89,9,3,1,3,141125,97.52,3,117,1,contest@0223,21-50
U0224,131,49,6,16,1,5,3,563233,69.37,20,382,28,contest@0224,51-100
U0225,55,33,67,7,3,4,2,437600,94.1,5,347,93,contest@0225,51-100
U0226,138,48,19,20,3,3,5,773858,51.25,5,464,18,contest@0226,21-50
U0227,196,93,45,15,5,4,2,383173,52.83,8,159,63,contest@0227,21-50
U0228,197,57,9,18,1,2,1,290670,72.78,5,15,78,contest@0228,51-100
U0229,103,27,39,6,5,2,3,430675,50.54,20,299,15,contest@0229,1-10
U0230,155,76,45,14,4,3,1,644728,97.61,7,146,59,contest@0230,21-50
U0231,117,59,58,4,5,4,1,854207,62.25,19,139,4,contest@0231,11-20
U0232,200,38,49,17,4,2,5,868050,85.72,9,218,68,contest@0232,51-100
U0233,122,62,63,12,4,3,4,474424,61.19,19,357,55,contest@0233,11-20
U0234,123,49,79,20,3,2,4,931244,97.31,11,129,73,contest@0234,21-50
U0235,27,62,78,12,3,4,3,947847,78.81,2,296,14,contest@0235,51-100
U0236,147,65,22,8,2,1,4,394109,87.25,17,111,98,contest@0236,51-100
U0237,169,39,90,14,5,1,2,862872,82.83,17,34,1,contest@0237,21-50
U0238,81,91,57,7,2,5,3,228578,87.26,5,294,33,contest@0238,11-20
U0239,92,99,6,14,3,5,4,996392,72.46,18,155,37,contest@0239,1-10
U0240,166,64,93,17,2,1,1,841371,86.82,20,121,1,contest@0240,51-100
U0241,135,89,84,9,2,4,2,460596,61.7,8,10,68,contest@0241,21-50
U0242,121,39,100,18,2,1,2,269947,62.43,8,31,22,contest@0242,11-20
U0243,105,12,82,11,4,2,3,396600,66.95,9,388,74,contest@0243,21-50
U0244,185,40,84,6,3,5,1,441854,85.3,18,449,73,contest@0244,51-100
U0245,71,18,93,7,3,5,4,394096,84.86,15,235,77,contest@0245,11-20
U0246,177,80,74,12,4,1,4,989393,83.26,6,477,67,contest@0246,11-20
U0247,30,77,36,9,5,3,1,567037,75.27,20,238,96,contest@0247,51-100
U0248,36,91,94,13,3,3,1,399454,55.98,11,287,29,contest@0248,11-20
U0249,149,38,58,6,4,2,4,707568,52.75,18,205,98,contest@0249,1-10
U0250,199,79,76,11,5,3,4,271705,51.51,15,234,25,contest@0250,1-10
U0251,21,42,80,7,3,4,1,155831,72.49,2,283,85,contest@0251,1-10
U0252,171,65,10,4,4,2,3,155351,98.66,17,224,60,contest@0252,11-20
U0253,155,73,71,19,2,1,2,733856,89.65,17,490,91,contest@0253,21-50
U0254,36,97,14,11,4,2,1,190899,54.05,6,212,78,contest@0254,1-10
U0255,47,50,75,4,1,2,4,844809,67.56,20,380,71,contest@0255,1-10
U0256,91,81,78,18,2,3,1,243765,72.33,9,420,37,contest@0256,1-10
U0257,76,76,36,19,1,3,2,743662,97.21,15,375,46,contest@0257,1-10
U0258,80,13,16,16,1,5,3,386700,85.63,6,456,72,contest@0258,51-100
U0259,68,85,88,19,3,5,1,473895,73.55,5,143,85,contest@0259,11-20
U0260,148,73,75,7,3,4,5,941792,71.58,15,342,60,contest@0260,21-50
U0261,17,49,18,4,4,1,1,957155,57.51,2,347,18,contest@0261,1-10
U0262,132,5,25,11,1,1,1,490327,63.7,12,358,46,contest@0262,1-10
U0263,124,34,42,14,4,3,4,340497,69.58,2,248,49,contest@0263,11-20
U0264,169,39,6,15,4,5,2,337714,80.0,3,482,31,contest@0264,51-100
U0265,160,11,67,3,5,5,5,809231,58.77,13,441,57,contest@0265,21-50
U0266,125,29,23,20,1,3,4,977256,83.58,14,485,29,contest@0266,21-50
U0267,103,42,72,3,4,2,3,682431,73.22,4,297,83,contest@0267,21-50
U0268,129,96,63,12,2,5,4,351081,66.35,6,288,2,contest@0268,1-10
U0269,122,30,99,18,2,1,5,480858,82.09,8,285,83,contest@0269,1-10
U0270,163,7,31,4,1,2,5,231728,51.08,8,305,13,contest@0270,51-100
U0271,47,49,92,17,5,2,3,975653,95.23,13,367,85,contest@0271,1-10
U0272,127,69,45,20,2,3,1,501901,61.28,11,132,46,contest@0272,51-100
U0273,109,5,77,5,3,3,1,254525,70.83,3,228,16,contest@0273,51-100
U0274,142,66,47,12,3,5,1,866157,66.54,17,440,97,contest@0274,11-20
U0275,156,88,75,10,1,5,5,872970,76.34,18,174,70,contest@0275,21-50
U0276,71,79,22,7,2,3,1,873295,68.45,16,272,69,contest@0276,11-20
U0277,58,32,44,9,2,2,3,481557,65.56,4,434,95,contest@0277,51-100
U0278,60,20,16,8,4,3,3,503087,82.27,1,284,55,contest@0278,21-50
U0279,120,23,35,7,5,5,3,683449,55.24,9,138,10,contest@0279,21-50
U0280,133,38,53,16,1,1,4,483734,52.6,13,379,85,contest@0280,11-20
U0281,98,65,42,14,1,1,1,205856,94.48,1,13,55,contest@0281,11-20
U0282,51,96,97,16,1,3,2,804284,99.44,10,7,1,contest@0282,21-50
U0283,54,28,82,13,2,1,5,188866,87.86,2,387,82,contest@0283,11-20
U0284,77,77,15,4,1,1,1,705908,96.83,13,63,66,contest@0284,11-20
U0285,79,31,6,15,4,4,5,953906,89.72,18,429,40,contest@0285,51-100
U0286,45,43,81,16,4,4,4,310193,89.03,6,6,14,contest@0286,1-10
U0287,16,20,71,20,5,3,3,384603,56.98,10,52,15,contest@0287,51-100
U0288,27,58,40,5,2,4,5,909599,97.48,4,39,78,contest@0288,11-20
U0289,182,96,62,12,5,1,4,969155,92.52,5,487,51,contest@0289,21-50
U0290,44,98,95,20,3,4,2,275677,87.27,18,279,23,contest@0290,51-100
U0291,178,10,26,17,3,5,4,396840,71.87,9,254,2,contest@0291,21-50
U0292,95,61,100,4,4,2,2,871406,84.88,4,30,17,contest@0292,11-20
U0293,77,79,98,4,1,2,1,460830,89.66,2,164,82,contest@0293,11-20
U0294,123,18,87,20,3,1,5,933571,93.46,19,133,8,contest@0294,11-20
U0295,180,38,88,13,2,3,1,961153,88.52,9,452,43,contest@0295,11-20
U0296,129,41,35,20,4,4,4,718139,91.38,10,365,62,contest@0296,1-10
U0297,88,20,83,3,1,4,2,925058,85.08,14,242,19,contest@0297,51-100
U0298,158,58,81,5,1,5,3,847487,66.49,11,267,71,contest@0298,51-100
U0299,160,44,81,10,5,5,1,260342,61.77,11,52,10,contest@0299,51-100
U0300,135,14,81,5,4,2,3,928442,80.36,14,383,54,contest@0300,1-10
U0301,14,42,82,15,4,5,1,741827,68.22,5,53,9,contest@0301,21-50
U0302,182,35,17,11,1,1,3,467834,67.25,17,483,82,contest@0302,1-10
U0303,156,28,23,16,1,4,1,954559,63.03,2,426,9,contest@0303,1-10
U0304,15,43,32,10,3,4,4,765622,97.57,10,34,98,contest@0304,1-10
U0305,31,91,75,3,4,1,1,593880,94.62,12,296,85,contest@0305,51-100
U0306,50,48,12,12,1,1,1,149580,99.49,8,104,74,contest@0306,1-10
U0307,78,58,36,3,5,5,1,241073,73.34,14,252,59,contest@0307,1-10
U0308,158,49,19,3,3,4,1,533279,58.3,20,51,49,contest@0308,21-50
U0309,141,31,7,12,1,5,1,442843,76.22,5,252,44,contest@0309,21-50
U0310,105,80,62,9,4,2,4,384482,62.66,3,394,58,contest@0310,1-10
U0311,49,100,23,7,3,5,2,584211,80.39,6,90,73,contest@0311,11-20
U0312,62,50,13,13,2,3,3,104646,93.7,10,41,40,contest@0312,51-100
U0313,84,82,69,12,5,5,3,703191,77.56,12,399,37,contest@0313,21-50
U0314,32,33,81,17,4,4,1,765847,72.72,17,485,20,contest@0314,1-10
U0315,159,33,62,20,1,1,2,515671,66.18,3,306,83,contest@0315,51-100
U0316,162,8,67,14,2,5,4,627106,78.47,17,209,35,contest@0316,1-10
U0317,51,99,48,16,3,4,4,693229,74.88,7,284,65,contest@0317,1-10
U0318,29,64,73,10,1,5,4,908580,94.16,7,92,9,contest@0318,21-50
U0319,43,58,96,11,3,1,1,700201,72.06,10,113,42,contest@0319,21-50
U0320,85,56,80,15,2,1,1,207894,57.43,13,167,94,contest@0320,51-100
U0321,36,35,98,10,4,2,1,433179,85.99,13,391,86,contest@0321,51-100
U0322,63,31,82,17,4,3,3,438324,88.83,8,232,70,contest@0322,21-50
U0323,108,51,81,4,2,3,2,775497,92.32,3,31,36,contest@0323,11-20
U0324,187,53,94,9,2,3,2,910568,89.76,3,90,79,contest@0324,1-10
U0325,54,17,75,17,5,3,3,464166,80.25,20,341,36,contest@0325,21-50
U0326,117,84,26,4,5,5,1,279035,66.84,5,4,57,contest@0326,11-20
U0327,129,84,68,20,4,3,4,962600,65.35,15,130,91,contest@0327,51-100
U0328,43,7,14,9,1,3,3,724327,94.44,2,230,44,contest@0328,1-10
U0329,186,71,18,18,3,3,2,332456,53.35,10,397,45,contest@0329,11-20
U0330,75,70,30,12,2,2,2,527035,74.0,10,102,100,contest@0330,51-100
U0331,172,55,76,8,2,3,5,732605,89.76,10,374,58,contest@0331,21-50
U0332,166,95,73,12,2,3,5,944141,76.38,9,373,54,contest@0332,1-10
U0333,124,46,98,15,5,1,5,836301,87.31,18,385,38,contest@0333,11-20
U0334,10,11,7,18,3,3,2,892743,56.33,5,66,38,contest@0334,11-20
U0335,186,27,6,20,3,4,4,138866,65.56,7,402,52,contest@0335,51-100
U0336,50,9,88,3,1,2,1,850327,84.91,16,190,61,contest@0336,1-10
U0337,70,39,57,19,5,2,4,891200,93.18,17,11,13,contest@0337,1-10
