UserID,No. Of Contests,No. of Questions,Easy,Medium,Hard,Topics,T1 Easy,T1 Medium,T1 Hard,Tn_Level,Accuracy,No Of Attempts,Time Taken,Platform Rank
U0037,5,72,25,44,46,16,4,1,2,347179,87.77,10,306,N1
U0038,5,348,57,31,31,12,1,5,4,545338,52.2,2,165,N5
U0039,1,168,111,22,17,4,2,5,5,579382,61.22,5,437,N2
U0040,14,322,88,37,83,8,2,5,3,841823,91.9,13,120,N4
U0041,13,149,70,72,10,13,5,1,5,170361,61.02,9,285,N5
U0042,2,429,139,55,47,6,2,2,3,834332,84.91,18,424,N1
U0043,2,438,19,67,33,4,2,5,2,470073,81.54,9,202,N3
U0044,2,407,39,27,45,3,3,5,4,718775,88.64,9,333,N5
U0045,16,246,141,99,59,13,5,1,4,392397,57.52,18,401,N2
U0046,15,189,125,68,37,15,3,3,3,874568,68.73,13,292,N4
U0047,4,282,25,52,97,3,4,5,5,171247,51.59,18,162,N3
U0048,19,339,32,6,99,15,1,5,5,780319,79.75,5,165,N4
U0049,5,318,57,59,40,15,1,2,5,906597,89.05,4,343,N4
U0050,13,427,24,65,55,5,4,3,3,342875,58.64,15,321,N5
U0051,1,367,163,93,53,14,3,2,1,156359,75.72,8,224,N3
U0052,16,327,189,61,59,13,4,5,5,432704,87.94,9,469,N2
U0053,3,327,115,14,51,18,4,1,5,131981,51.77,5,57,N1
U0054,7,220,95,73,57,8,3,2,4,572817,71.55,11,242,N5
U0055,15,172,120,53,39,10,2,5,1,338127,65.43,14,290,N3
U0056,14,241,93,93,75,7,1,5,3,653130,55.81,4,471,N3
U0057,4,448,47,21,11,4,3,1,2,788580,87.55,15,277,N2
U0058,5,130,165,38,70,14,1,5,2,660372,57.22,3,493,N4
U0059,3,361,47,54,28,10,3,5,1,355135,88.62,16,11,N1
U0060,1,340,128,75,64,3,3,4,1,706514,97.28,13,358,N2
U0061,19,441,164,84,90,4,2,3,2,852501,83.63,11,44,N4
U0062,1,289,125,83,90,6,2,3,2,258688,96.35,10,35,N3
U0063,16,138,52,91,20,11,4,4,4,240787,98.51,20,74,N5
U0064,6,488,55,21,96,19,1,1,5,109136,86.96,12,347,N5
U0065,13,319,49,92,34,16,4,3,5,697497,71.68,19,134,N4
U0066,1,282,108,24,60,7,1,4,1,260141,89.3,9,238,N4
U0067,16,489,93,49,100,8,2,3,4,356247,65.24,6,55,N5
U0068,16,363,63,7,33,16,1,5,4,548216,62.99,1,381,N4
U0069,18,97,91,90,68,7,4,3,3,239276,52.67,12,42,N4
U0070,11,132,124,90,55,14,3,2,1,554489,73.73,14,142,N5
U0071,3,157,151,50,44,15,1,5,4,397129,86.94,1,136,N1
U0072,17,125,192,14,39,18,2,3,4,221991,89.61,18,372,N3
U0073,16,310,196,6,53,12,5,3,2,335895,68.32,2,255,N1
U0074,7,292,111,20,25,4,3,3,1,349664,58.56,17,93,N2
U0075,18,496,43,95,93,10,5,2,3,358263,56.38,19,303,N5
U0076,7,324,105,77,84,8,4,2,2,995354,52.65,2,487,N4
U0077,2,190,64,29,85,6,5,2,4,908828,79.18,5,72,N3
U0078,3,380,82,44,57,17,2,1,4,284920,53.3,10,203,N3
U0079,2,499,146,13,10,5,1,2,2,282660,78.92,4,232,N1
U0080,19,155,127,67,40,10,1,4,5,630214,51.86,19,53,N2
U0081,12,443,181,11,80,12,5,3,5,314165,79.96,15,462,N2
U0082,5,448,195,35,82,8,2,1,5,215522,92.2,12,160,N5
U0083,3,89,115,33,11,5,5,5,3,397886,78.26,15,364,N1
U0084,8,421,84,30,14,10,5,4,4,458428,60.42,9,122,N5
U0085,6,76,181,41,25,15,4,3,5,288010,81.23,12,435,N5
U0086,8,195,197,77,99,8,2,5,3,138291,57.42,18,214,N4
U0087,9,198,164,69,71,9,1,3,2,379104,69.94,9,237,N5
U0088,9,381,117,70,10,6,2,2,2,936394,58.34,10,342,N5
U0089,5,451,35,38,76,8,2,3,4,803086,67.87,8,375,N4
U0090,14,271,78,57,99,8,1,5,4,289149,72.66,8,111,N1
U0091,17,376,132,62,36,5,1,2,3,956469,68.57,3,132,N1
U0092,10,204,155,31,56,20,4,5,1,443584,71.81,20,300,N1
U0093,7,334,138,84,57,19,1,5,4,552847,77.01,1,432,N1
U0094,3,109,91,100,13,7,2,4,5,812939,83.15,8,394,N5
U0095,6,175,196,80,61,14,1,3,4,724785,98.6,9,214,N1
U0096,14,427,199,91,37,15,3,3,2,968844,76.09,18,92,N1
U0097,8,400,81,46,37,10,3,4,2,902937,60.25,19,226,N5
U0098,19,142,45,63,51,14,3,5,1,203717,54.54,18,431,N5
U0099,17,363,161,70,24,13,3,2,2,389508,93.39,8,251,N1
U0100,10,303,10,18,41,9,2,3,5,977079,53.13,9,205,N4
U0101,6,460,151,86,29,7,2,1,2,169073,70.47,7,184,N3
U0102,16,210,127,92,48,5,3,5,1,425442,99.75,2,286,N1
U0103,5,238,106,39,30,19,5,4,1,684734,59.25,3,118,N2
U0104,20,230,23,38,35,5,1,4,4,267866,52.56,6,487,N3
U0105,9,279,126,48,64,10,4,1,4,902829,67.61,1,406,N4
U0106,5,485,176,82,54,17,2,1,3,518174,58.4,15,234,N2
U0107,10,269,197,9,59,17,2,2,4,483395,94.93,17,117,N4
U0108,20,400,15,72,36,13,3,4,2,682623,72.18,2,446,N4
U0109,5,89,57,14,64,3,3,2,5,778710,59.69,17,345,N4
U0110,7,337,55,28,89,9,4,5,4,162828,84.41,11,244,N4
U0111,20,209,96,41,23,8,2,4,5,766964,53.03,3,494,N3
U0112,15,475,122,64,40,3,4,1,2,499083,62.82,1,255,N4
U0113,13,429,181,77,31,7,3,3,3,457530,58.63,12,191,N4
U0114,12,261,30,96,88,15,2,2,5,394785,78.3,1,418,N3
U0115,1,440,18,61,66,9,2,4,1,975270,66.79,7,141,N4
U0116,9,100,110,89,52,11,1,5,1,349973,75.0,8,463,N3
U0117,14,359,167,17,86,16,4,5,5,279641,76.93,10,451,N3
U0118,5,466,142,50,39,4,3,3,4,115305,61.18,12,143,N3
U0119,14,469,151,40,29,12,2,1,5,142342,68.09,12,191,N5
U0120,3,249,132,44,83,3,2,2,5,159828,96.58,10,89,N1
U0121,6,112,190,75,52,6,2,5,5,411242,78.77,14,49,N3
U0122,19,438,156,44,14,5,4,2,2,700240,73.73,10,314,N3
U0123,1,333,120,80,95,16,4,1,5,435490,76.91,3,9,N1
U0124,7,478,87,88,71,6,3,4,2,352663,76.48,10,218,N1
U0125,10,497,157,60,27,20,5,5,3,709739,91.22,19,399,N3
U0126,11,130,35,79,80,3,4,2,2,694223,88.78,20,296,N5
U0127,4,98,143,72,23,11,2,1,4,519673,58.94,5,390,N3
U0128,5,408,165,38,15,15,3,1,4,125775,88.91,15,109,N1
U0129,10,171,104,67,100,20,1,1,5,653803,78.2,7,356,N2
U0130,4,401,13,66,81,6,3,2,3,265104,63.77,7,66,N4
U0131,9,250,112,100,29,16,4,4,5,779305,66.71,16,194,N4
U0132,8,150,159,78,80,17,3,1,1,475754,90.46,18,459,N1
U0133,8,412,175,14,56,5,3,1,5,972682,83.26,4,433,N3
U0134,14,243,108,47,41,14,4,2,4,324760,62.17,8,234,N1
U0135,16,86,75,30,10,10,2,3,2,536426,95.92,1,241,N1
U0136,4,218,165,85,85,5,3,5,5,497292,97.87,12,146,N4
U0137,18,151,173,62,74,11,1,1,5,750139,59.02,20,275,N1
U0138,9,153,145,80,33,19,5,5,4,425091,85.22,8,484,N5
U0139,19,268,143,32,82,10,5,4,3,207111,50.3,15,462,N2
U0140,8,363,72,50,73,8,1,3,5,365021,50.56,5,427,N3
U0141,6,283,151,15,44,5,4,1,2,256443,54.97,4,387,N4
U0142,17,253,106,27,99,15,3,3,2,306610,80.41,17,328,N5
U0143,1,471,17,96,55,13,4,3,1,969524,66.86,13,116,N4
U0144,18,161,150,44,29,16,3,1,2,844549,66.53,14,186,N2
U0145,2,288,83,68,73,4,4,4,1,147310,82.74,4,455,N4
U0146,9,444,84,32,22,11,1,1,4,391891,58.48,6,186,N3
U0147,1,56,154,32,59,7,2,4,2,297597,60.48,10,369,N4
U0148,13,480,22,30,31,20,4,1,5,210980,57.21,7,363,N5
U0149,15,258,127,7,59,3,5,2,3,171627,54.12,7,148,N3
U0150,1,494,67,6,25,16,3,3,3,647545,79.54,16,186,N1
U0151,4,431,64,99,85,8,1,3,2,760189,73.72,14,289,N3
U0152,10,352,142,70,92,5,3,2,5,384503,61.22,16,317,N1
U0153,14,295,132,86,21,16,3,5,2,336720,63.73,16,277,N1
U0154,11,334,182,80,49,6,2,4,3,617441,75.38,10,130,N3
U0155,1,385,141,89,80,20,3,3,2,573933,71.31,12,226,N2
U0156,9,238,30,79,39,5,4,4,1,492929,51.22,14,307,N5
U0157,13,269,19,35,39,9,1,2,3,250868,76.39,13,54,N3
U0158,12,419,123,6,45,17,4,4,3,218103,89.95,4,206,N3
U0159,4,206,161,5,93,14,2,3,5,703260,80.94,18,353,N5
U0160,7,491,63,88,88,18,1,1,1,374502,84.01,6,486,N1
U0161,16,337,46,12,19,13,2,5,3,207644,83.59,6,330,N3
U0162,12,84,152,31,59,9,3,4,3,931319,62.92,1,357,N2
U0163,8,195,88,41,8,16,1,3,3,976634,95.59,11,47,N5
U0164,19,311,137,18,61,12,3,1,1,846195,50.31,10,417,N3
U0165,7,107,190,93,47,11,5,4,3,903944,55.18,3,151,N1
U0166,1,431,85,33,90,20,3,5,1,447971,78.23,15,98,N3
U0167,4,275,77,76,70,20,2,1,1,495211,74.63,9,485,N4
U0168,4,333,30,83,37,19,2,5,3,864500,93.49,6,129,N1
U0169,14,411,127,98,95,8,5,3,5,554356,73.82,7,83,N3
U0170,5,445,127,7,8,7,1,5,4,429597,87.24,7,38,N2
U0171,2,496,22,95,87,4,3,5,1,332614,75.29,13,209,N1
U0172,4,134,44,60,46,15,2,1,5,180598,69.79,12,65,N4
U0173,12,387,175,61,16,9,3,5,1,140184,97.04,6,170,N4
U0174,17,226,78,9,66,13,1,4,2,552577,89.19,11,161,N3
U0175,7,421,179,50,48,15,4,1,3,566217,55.77,1,491,N3
U0176,15,192,22,31,14,8,2,4,3,138732,59.9,4,470,N4
U0177,5,413,30,43,31,8,2,3,3,109496,77.26,16,276,N3
U0178,17,315,130,16,56,11,2,3,2,321606,86.89,8,356,N3
U0179,14,259,103,27,77,20,3,2,4,684023,54.05,6,175,N3
U0180,4,418,185,76,35,17,3,4,3,718316,88.42,2,211,N4
U0181,16,252,35,68,32,18,4,3,3,555590,52.54,17,346,N1
U0182,14,231,186,77,73,17,2,2,3,994588,52.29,9,452,N2
U0183,17,176,42,66,40,14,4,2,4,625960,68.43,5,185,N3
U0184,20,342,101,99,79,4,1,3,5,568229,91.0,10,284,N5
U0185,7,373,118,38,54,13,5,2,3,843384,82.54,5,279,N5
U0186,2,451,189,8,63,15,3,2,1,592376,65.77,19,326,N5
U0187,9,292,75,69,12,9,5,5,5,108238,94.78,7,433,N5
U0188,16,384,95,68,27,12,1,4,3,892045,60.87,17,158,N1
U0189,8,310,185,89,91,4,1,1,5,825894,98.85,11,289,N3
U0190,5,123,172,86,51,20,5,5,3,304453,50.69,20,120,N3
U0191,2,63,95,69,10,5,5,5,5,498655,99.16,14,133,N4
U0192,5,148,174,56,36,13,4,1,5,434749,58.17,6,223,N1
U0193,19,196,105,96,20,7,2,3,4,299476,93.94,2,177,N5
U0194,11,367,31,39,60,10,1,1,1,292284,58.49,7,246,N3
U0195,18,250,101,97,33,4,2,3,5,870448,97.23,20,234,N4
U0196,1,466,156,9,30,11,1,1,3,663032,71.5,16,389,N2
U0197,18,97,116,51,90,3,3,1,2,224505,86.29,4,468,N4
U0198,7,228,81,89,85,12,5,3,1,633770,89.47,3,319,N2
U0199,15,205,81,63,68,7,3,4,1,628988,79.43,15,253,N5
U0200,8,359,195,32,80,18,4,1,3,503405,95.69,17,384,N3
U0201,4,270,134,23,30,13,2,5,4,718845,57.15,19,197,N5
U0202,8,207,36,45,10,18,4,3,5,768665,72.78,19,215,N3
U0203,8,233,181,5,27,18,2,5,4,650379,93.75,5,436,N2
U0204,17,153,96,35,79,8,5,1,4,431141,60.25,15,443,N1
U0205,15,139,136,7,30,3,2,1,1,618051,62.05,19,49,N4
U0206,15,166,43,89,49,18,2,1,1,844273,85.85,17,379,N1
U0207,18,126,38,81,91,14,3,2,5,774884,68.05,19,188,N4
U0208,20,74,166,65,33,15,4,1,2,919050,58.94,1,152,N3
U0209,10,263,118,42,65,4,3,3,4,552749,93.7,15,108,N4
U0210,8,458,66,44,88,13,2,1,1,640900,66.16,8,109,N4
U0211,8,97,30,43,13,12,4,5,3,209519,73.78,2,183,N1
U0212,4,154,37,8,43,6,2,2,5,712391,97.77,17,357,N4
U0213,12,252,181,48,97,5,5,4,5,780442,96.36,18,443,N2
U0214,5,366,49,15,86,10,2,5,4,640458,67.99,5,229,N1
U0215,14,196,152,96,63,16,3,4,3,384869,80.03,18,210,N1
U0216,1,218,37,50,85,15,5,1,4,584628,61.75,12,87,N3
U0217,12,132,17,97,6,15,1,5,2,852507,84.48,4,95,N2
U0218,2,350,64,28,27,7,1,2,5,665651,74.13,20,203,N2
U0219,3,101,85,91,21,15,2,1,5,474551,88.25,2,273,N2
U0220,14,184,87,49,13,8,3,3,3,741300,81.89,2,354,N2
U0221,1,207,79,44,15,10,5,3,1,621605,78.92,5,263,N3
U0222,15,181,86,13,50,5,1,4,5,502449,59.65,8,290,N1
U0223,19,87,157,15,9,7,5,3,1,226303,93.73,5,18,N3
U0224,12,263,22,57,84,5,5,5,2,313917,54.23,13,457,N4
U0225,9,257,83,54,7,12,3,4,4,230540,90.62,15,94,N1
U0226,11,363,161,74,40,11,2,1,3,544364,50.53,12,31,N5
U0227,19,437,69,78,36,11,3,2,3,716041,60.25,3,261,N2
U0228,14,242,155,59,30,8,2,4,4,517725,65.74,18,192,N4
U0229,14,291,178,15,76,9,1,2,3,360299,72.6,3,18,N5
U0230,2,220,39,65,16,14,5,2,4,228676,62.25,15,17,N1
U0231,6,66,193,69,55,4,2,2,5,182166,83.73,11,142,N5
U0232,4,334,118,65,16,14,2,4,1,516821,78.77,8,467,N1
U0233,6,424,170,63,15,15,1,5,1,348319,96.0,3,138,N1
U0234,6,143,89,75,5,16,5,1,3,485904,97.02,6,362,N1
U0235,11,436,102,42,89,15,2,3,2,862290,65.94,6,438,N1
U0236,4,167,145,8,65,9,3,2,5,127752,84.85,17,92,N2
U0237,1,97,41,86,70,8,2,1,4,938382,73.39,15,406,N5
U0238,5,212,61,73,85,5,3,1,5,249059,84.2,3,142,N2
U0239,11,163,123,27,99,18,1,1,2,943586,76.15,18,145,N4
U0240,8,127,36,42,39,8,2,3,4,236403,71.06,1,180,N3
U0241,20,292,139,48,94,13,1,3,5,901089,50.94,6,478,N2
U0242,15,472,70,22,23,7,4,2,3,258466,85.75,11,143,N2
U0243,9,163,147,87,37,19,4,4,2,462430,62.1,5,105,N4
U0244,18,421,188,88,41,18,3,3,4,148949,54.84,8,191,N5
U0245,7,135,11,92,86,13,5,1,3,952771,96.82,4,177,N4
U0246,4,393,137,76,34,11,5,3,3,332019,59.18,20,263,N4
U0247,15,72,96,92,96,11,4,2,2,315497,92.57,7,119,N5
U0248,12,134,124,100,59,5,5,1,3,280759,78.11,11,393,N5
U0249,8,249,65,14,78,14,4,2,4,818883,98.47,19,112,N1
U0250,9,199,114,56,88,18,2,4,1,601233,59.28,4,111,N3
U0251,16,427,81,13,48,13,2,3,2,533377,71.61,8,156,N1
U0252,7,468,81,46,88,8,5,5,4,701586,59.33,8,340,N3
U0253,3,307,183,11,85,14,5,3,4,412585,86.62,11,206,N5
U0254,16,181,135,15,58,19,5,1,5,587548,78.45,11,133,N3
U0255,4,337,136,15,90,7,1,1,4,527517,50.31,18,108,N2
U0256,17,51,85,63,17,7,3,5,3,883030,81.2,20,421,N5
U0257,13,215,90,13,9,7,4,5,3,625311,84.9,20,102,N2
U0258,3,177,50,38,91,9,3,5,2,338401,70.5,19,221,N4
U0259,6,284,194,69,56,17,4,3,3,239706,88.02,19,177,N2
U0260,11,401,195,13,36,13,5,3,3,987776,78.38,9,458,N5
U0261,13,115,133,90,92,20,5,1,4,949181,99.1,12,266,N1
U0262,14,133,175,38,10,19,2,4,3,415715,84.94,1,3,N2
U0263,7,148,124,17,38,18,3,5,5,986964,87.08,12,380,N2
U0264,2,75,107,65,17,15,2,1,2,554681,85.51,3,87,N3
U0265,6,279,154,64,67,8,5,1,1,217272,59.52,2,461,N2
U0266,13,52,101,96,54,13,1,1,4,447631,80.32,13,310,N3
U0267,3,367,191,100,12,7,4,4,3,147404,50.47,19,388,N1
U0268,13,493,146,85,41,20,3,2,1,656386,80.95,19,169,N1
U0269,19,482,152,50,59,12,3,2,4,320007,79.31,7,50,N2
U0270,17,131,62,84,54,6,2,2,3,848524,71.14,3,472,N1
U0271,7,110,180,61,67,12,5,3,4,942286,88.25,9,461,N2
U0272,9,457,64,50,61,18,1,1,1,237357,73.23,9,24,N3
U0273,1,143,154,35,6,6,2,4,4,223758,64.25,6,483,N1
U0274,7,255,164,84,41,16,3,1,2,861678,54.72,8,470,N3
U0275,5,399,99,16,98,5,2,1,3,442031,84.74,14,144,N5
U0276,12,436,92,57,74,6,3,5,5,635608,53.2,9,251,N4
U0277,10,323,131,66,97,6,1,1,5,745894,55.26,5,381,N1
U0278,10,168,31,19,46,10,1,4,2,629449,65.9,8,291,N2
U0279,3,140,119,76,29,15,1,3,1,374009,96.19,5,68,N3
U0280,14,426,60,80,55,11,2,4,3,425289,58.24,2,3,N2
U0281,6,78,155,73,97,14,1,2,2,566439,86.41,13,51,N3
U0282,5,60,27,51,44,7,1,5,5,103234,61.76,17,217,N2
U0283,13,452,57,41,78,11,1,3,4,822542,67.41,5,129,N1
U0284,16,361,191,91,53,17,1,1,3,210687,52.31,16,449,N1
U0285,1,134,134,81,47,8,5,2,4,127619,75.02,12,67,N2
U0286,18,241,125,39,45,20,5,2,5,135821,86.42,3,342,N1
U0287,17,166,199,19,61,9,3,5,3,290002,95.99,15,14,N4
U0288,10,224,143,20,42,8,5,4,3,247131,62.42,13,229,N5
U0289,20,492,135,96,49,9,1,2,3,472171,89.52,12,210,N1
U0290,7,383,128,69,58,19,4,4,5,272335,89.01,11,326,N1
U0291,7,205,126,70,38,16,2,3,3,530504,50.93,11,203,N5
U0292,11,226,61,22,33,10,1,1,5,471283,69.26,3,216,N4
U0293,9,113,21,21,18,11,1,5,5,292950,91.47,15,188,N2
U0294,13,170,99,15,10,11,3,2,5,849610,85.06,19,160,N1
U0295,19,398,87,69,38,3,5,1,2,588644,98.56,7,383,N3
U0296,14,242,33,51,9,13,5,2,5,257132,75.08,18,310,N2
U0297,13,356,136,23,90,5,5,3,4,358765,52.18,15,115,N3
U0298,19,91,151,10,32,11,1,5,1,868280,68.68,15,256,N2
U0299,20,256,97,67,35,10,2,5,2,607652,58.65,1,214,N3
U0300,6,341,139,99,37,7,2,5,5,564645,53.61,2,441,N4
U0301,13,491,189,11,80,20,5,2,5,878453,51.91,9,416,N4
U0302,7,408,146,44,88,18,1,3,4,285771,55.91,16,370,N1
U0303,15,208,178,89,12,3,3,5,5,468553,64.32,15,324,N2
U0304,8,79,69,66,53,4,3,1,3,463542,72.24,14,461,N1
U0305,8,59,156,90,64,13,1,1,1,694169,66.5,11,13,N2
U0306,14,62,81,23,85,11,5,2,5,280353,95.03,3,185,N4
U0307,5,257,96,55,27,8,1,2,5,912828,83.61,12,80,N2
U0308,13,238,124,92,64,12,3,2,4,272047,99.91,10,268,N4
U0309,1,400,13,40,81,11,4,2,5,347978,63.03,10,95,N2
U0310,1,90,25,7,15,4,3,4,5,677294,55.29,1,59,N4
U0311,5,448,89,23,28,5,2,2,3,398545,95.44,7,14,N1
U0312,20,454,51,59,88,8,5,5,3,525280,92.36,20,65,N4
U0313,4,130,144,39,96,16,3,3,1,792174,73.22,13,424,N2
U0314,2,191,154,5,62,11,5,2,4,536320,74.71,12,74,N5
U0315,11,420,32,18,39,3,4,3,3,785959,79.05,12,76,N5
U0316,14,123,32,59,40,15,5,4,1,803680,90.28,2,301,N2
U0317,14,419,163,16,60,12,5,1,4,951812,66.48,18,284,N4
U0318,18,115,96,37,23,10,5,2,1,197302,50.53,17,355,N4
U0319,3,165,49,100,79,15,4,1,5,270699,87.51,19,313,N5
U0320,16,121,153,90,62,5,1,3,2,721785,70.23,14,346,N5
U0321,16,199,94,70,19,11,2,1,4,774054,96.97,10,363,N3
U0322,17,485,150,15,19,7,4,1,1,971118,93.95,13,442,N5
U0323,2,419,42,97,29,18,4,2,2,693032,50.93,10,90,N2
U0324,5,437,18,46,91,14,4,3,3,791143,84.7,19,157,N3
U0325,12,250,127,45,63,5,2,5,4,349981,93.55,12,465,N2
U0326,10,210,46,17,14,14,3,5,1,657616,63.59,5,44,N4
U0327,7,177,109,56,56,19,2,4,4,923629,90.01,19,427,N4
U0328,20,263,78,57,71,14,2,2,1,920779,87.48,18,163,N5
U0329,17,449,36,84,52,19,1,3,2,244127,92.29,1,491,N2
U0330,14,250,26,22,91,8,5,2,1,422676,82.43,9,447,N3
U0331,3,369,105,93,22,20,4,1,4,551595,98.52,3,146,N2
U0332,16,104,196,88,85,17,1,3,1,649348,78.28,10,372,N3
U0333,3,307,132,50,90,5,4,2,4,863149,80.04,1,142,N3
U0334,14,418,94,67,50,3,4,2,2,977791,84.11,19,16,N1
U0335,5,68,86,41,66,4,1,3,2,476568,82.76,2,117,N1
U0336,13,50,79,28,63,4,4,4,2,276164,80.39,19,487,N5
U0337,19,69,70,35,17,15,1,1,5,212266,83.68,5,273,N3
U0338,13,263,171,22,86,14,4,3,4,272215,54.96,16,213,N4
U0339,5,228,156,21,54,10,2,5,3,680375,59.06,13,89,N4
U0340,14,67,102,39,35,19,4,5,1,493728,56.19,11,428,N5
U0341,14,286,116,92,48,15,2,2,1,134287,98.31,20,44,N5
U0342,3,86,70,12,72,8,1,1,3,325652,75.95,3,248,N1
U0343,15,115,165,60,69,17,2,4,2,370176,54.46,11,403,N5
U0344,1,361,169,10,75,8,1,3,5,151852,99.83,5,28,N3
U0345,14,98,174,55,59,16,5,4,4,294108,83.78,7,157,N4
U0346,4,204,196,10,17,14,1,1,4,154302,71.23,15,95,N2
U0347,5,321,74,67,96,3,1,2,5,551961,51.57,14,60,N1
U0348,8,63,10,62,100,17,3,4,2,470463,50.88,14,468,N2
U0349,20,173,114,33,89,14,2,3,3,877172,81.94,17,368,N4
U0350,5,483,194,100,61,8,1,2,1,494544,78.75,14,147,N3
U0351,9,424,197,46,45,3,2,5,2,424755,81.55,12,473,N3
U0352,16,236,121,9,18,20,1,5,4,471252,82.01,13,212,N2
U0353,17,498,100,19,44,14,2,5,5,748265,60.12,19,133,N1
U0354,13,463,86,39,65,11,2,3,2,751435,71.09,11,453,N1
U0355,3,227,179,63,68,6,2,5,3,378111,55.8,9,281,N1
U0356,20,220,136,74,90,16,5,4,2,769608,57.9,4,144,N4
U0357,16,477,180,16,74,20,3,2,4,710279,89.45,15,371,N3
U0358,14,285,39,45,15,11,1,1,2,885259,70.93,15,407,N2
U0359,12,112,191,13,53,3,3,5,1,193778,88.96,5,286,N4
U0360,1,262,192,94,69,18,1,1,1,701778,80.88,18,400,N1
U0361,1,161,195,29,36,17,4,3,1,209123,61.01,16,310,N2
U0362,11,62,192,71,85,20,2,4,1,450568,50.33,4,485,N4
U0363,1,329,178,30,79,19,3,1,4,814203,87.39,8,120,N4
U0364,20,469,120,86,62,9,2,3,4,606390,75.05,11,264,N1
U0365,9,408,70,67,7,17,4,5,2,470014,76.27,14,474,N2
U0366,18,299,27,54,46,12,4,3,3,434827,67.32,10,189,N4
U0367,7,67,174,84,15,7,4,5,1,615997,81.57,9,392,N1
U0368,15,219,41,70,59,14,3,2,2,397405,56.83,5,111,N2
U0369,6,465,104,66,15,15,3,5,2,114536,77.92,15,323,N3
U0370,18,121,120,35,60,13,4,1,2,862002,86.96,19,8,N1
U0371,9,435,159,81,25,10,4,4,3,404472,64.16,12,182,N5
U0372,9,173,182,25,48,13,5,1,3,516366,94.16,11,212,N5
U0373,13,156,65,69,68,18,4,4,3,485807,82.0,7,50,N2
U0374,9,282,191,57,79,6,1,2,4,430362,82.36,10,54,N4
U0375,8,347,75,7,85,6,3,2,2,915356,90.75,9,192,N4
U0376,14,318,165,43,24,6,4,3,1,310345,70.32,9,99,N2
U0377,10,401,19,62,59,7,5,2,4,715037,69.11,4,142,N3
U0378,15,397,112,20,71,15,4,2,2,780306,78.71,4,458,N3
U0379,17,341,106,37,87,5,4,1,2,309558,75.43,3,98,N1
U0380,1,105,23,78,41,12,5,5,2,660659,93.65,11,442,N5
U0381,10,266,86,70,57,18,5,4,2,361677,66.17,13,50,N5
U0382,1,102,147,15,61,16,2,4,3,626191,96.53,8,372,N2
U0383,19,381,76,73,75,3,4,1,4,386115,78.54,3,402,N1
